"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0574","P0574",-23.2406,-55.53552,"AM30","Fish_Cerrado_MS",2,34,"P0574",2000,85.02363134,100,15,15,15,15
"P0575","P0575",-23.1687,-55.34413,"AM31","Fish_Cerrado_MS",1,34,"P0575",2000,85.02363134,89.84,15,15,15,15
"P0576","P0576",-23.13083,-55.22092,"AM32","Fish_Cerrado_MS",11,33,"P0576",2000,88.72728226,93.81,15,15,15,15
"P0577","P0577",-23.10379,-55.17038,"AM33","Fish_Cerrado_MS",2,33,"P0577",2000,88.72728226,95.21,15,15,15,15
"P0578","P0578",-23.04425,-55.1143,"AM34","Fish_Cerrado_MS",8,33,"P0578",2000,88.72728226,90.82,15,15,15,15
"P0580","P0580",-22.92585,-54.50236,"AM36","Fish_Cerrado_MS",5,27,"P0580",2000,86.95598967,90.81,15,15,15,15
"P0593","P0593",-22.86617,-54.58963,"AM49","Fish_Cerrado_MS",5,27,"P0593",2000,86.95598967,95.82,15,15,15,15
"P0595","P0595",-22.78275,-54.53992,"AM51","Fish_Cerrado_MS",4,27,"P0595",2000,86.95598967,92.37,15,15,15,15
"P0597","P0597",-23.04361,-55.18116,"AM53","Fish_Cerrado_MS",3,33,"P0597",2000,88.72728226,93.91,15,15,15,15
"P0610","P0610",-22.17139,-56.19987,"APA1","Fish_Cerrado_MS2",5,57,"P0610",2000,79.85348978,84.62,15,15,15,15
"P0614","P0614",-22.14518,-56.30818,"APA5","Fish_Cerrado_MS2",7,57,"P0614",2000,79.85348978,91.46,15,15,15,15
"P0634","P0634",-21.39124,-56.8096,"APA26","Fish_Cerrado_MS2",4,59,"P0634",2000,37.64739096,76.98,0,0,8,15
"P0642","P0642",-21.08954,-56.73795,"APA34","Fish_Cerrado_MS2",6,59,"P0642",2000,37.64739096,44.38,0,0,8,15
"P0647","P0647",-22.19158,-56.08481,"APA39","Fish_Cerrado_MS2",7,57,"P0647",2000,79.85348978,89.86,15,15,15,15
"P0656","P0656",-21.75716,-57.1901,"APA48","Fish_Cerrado_MS2",15,58,"P0656",2000,51.4052286,26.52,0,1,12,15
"P0657","P0657",-21.67633,-57.17568,"APA49","Fish_Cerrado_MS2",10,58,"P0657",2000,51.4052286,31.36,0,1,12,15
"P0659","P0659",-21.72587,-57.03773,"APA51","Fish_Cerrado_MS2",8,58,"P0659",2000,51.4052286,15.13,0,1,12,15
"P0674","P0674",-21.657333,-54.424944,"Pt1","fish_Cerrado_MS3",16,46,"P0674",2016,82.28640524,86.07410054,31,31,31,31
"P0675","P0675",-21.56575,-54.485083,"Pt2","fish_Cerrado_MS3",4,46,"P0675",2016,82.28640524,80.76601184,31,31,31,31
"P0676","P0676",-21.539083,-54.557167,"Pt3","fish_Cerrado_MS3",12,47,"P0676",2016,81.1395724,92.57765228,31,31,31,31
"P0682","P0682",-22.153139,-54.939556,"Pt9","fish_Cerrado_MS3",5,40,"P0682",2016,88.70596504,83.67389275,31,31,31,31
"P0683","P0683",-22.6125,-54.036028,"Pt10","fish_Cerrado_MS3",12,29,"P0683",2016,88.53951465,93.69344866,29,31,31,31
"P0685","P0685",-22.872222,-54.076222,"Pt12","fish_Cerrado_MS3",12,26,"P0685",2016,79.71042023,96.85774842,31,31,31,31
"P0687","P0687",-22.223028,-53.750889,"Pt14","fish_Cerrado_MS3",8,43,"P0687",2016,90.46069514,97.18446602,31,31,31,31
"P0690","P0690",-22.311306,-53.952056,"Pt17","fish_Cerrado_MS3",9,42,"P0690",2016,87.80942046,96.62693206,31,31,31,31
